,date,content,score,version,thumbs
0,2021-10-12 12:11:48,"Aplicativo horroroso. Desloga toda hora e até agora não está aparecendo os dados da vacina que eu tomei. Inútil. FAÇAM UM APLICATIVO QUE FUNCIONE, PELO AMOR DE DEUS!",1,70.3.4,0
1,2021-10-12 11:39:56,"As informações aparecem e desaparecem aleatoriamente, nao é possível fazer agendamento. Os campos ficam carregando mas nunca abrem para que as opções sejam selecionadas. Serve para muito pouco ou quase nada.",1,70.3.4,0
2,2021-10-12 11:08:50,"Como todos os aplicativos do governo, péssimo funcionamento e terrível para se fazer um cadastro.",1,70.3.4,0
3,2021-10-12 09:38:00,"Ruim, antes do covid o app mostrava todas minhas idas no posto de saude, vacinas e exames, agora só serve pra mostrar 1 vacina que tomei do covid e 1 exame.. o nome do app tinha que mudar pra Carteira Covid",1,70.3.4,0
4,2021-10-12 09:30:43,"Nao consigo ver minha carteira de vacinacao aparece uma propaganda da ibest para que eu vote, nao quero votar em nada, so quero ver minha carteirinha",1,70.3.4,0
5,2021-10-12 08:55:53,Certificado de vacinação em inglês para quem tomou vacina híbrida não da,1,70.3.4,1
6,2021-10-12 06:06:39,"Meu CPF foi cadastrado não sei por quem e não consigo ter acesso aos meus dados, não é meu e-mail, não é o meu telefone. Como pode isso?",1,70.3.4,0
8,2021-10-11 20:56:00,Está sempre com acesso ruim,1,70.3.4,0
9,2021-10-11 19:38:23,"Não emitiu meu certificado de vacinação comprovando a duas doses, esse aplicativo devia está na CPI da covid 19 como atraso na vida dos brasileiros com a falta de comprometimento",1,70.3.4,1
12,2021-10-11 18:49:59,Horrível esse app.,1,70.3.4,0
13,2021-10-11 17:59:49,"Eu simplesmente não consigo fazer o meu cadastro, não tem opção, só para quem já tem cadastro.😠",1,70.3.4,0
14,2021-10-11 17:17:22,"Não presta. Problemas com login esqueça, não arrumam nunca.",1,70.3.4,0
15,2021-10-11 17:12:15,D7d778d do 8iii8d DDD 5e88857dud r788d s xsrśd x 8d 8d 765f de um Rxux5e,1,70.3.4,0
16,2021-10-11 16:10:05,Não consigo cadastrar mei tio. App não cumpre a função,1,70.3.4,0
17,2021-10-11 15:37:10,Faz mais de duas semanas que tomei segunda dose e nao aparece no sistema....sera que funciona mesmo....,1,70.3.4,0
18,2021-10-11 14:39:57,"Olá, boa tarde!!! Minha 2° dose não entrou, e já tomei faz 1 mês, o que faço?",1,70.3.4,0
20,2021-10-11 13:36:22,"Fora estado, SUS lixo, Ancap",1,70.3.4,0
21,2021-10-11 11:44:17,"Serve apenas como uma carteira de vacinação digital. A maioria baixa o app na expectativa de marcar uma consulta, mas é uma decepção, já que não funciona nada.",1,70.3.4,0
